Year,Month,Day,Day in Year,Extraterrestrial Irradiance,Irradiance (W/m2),Irradiation (kJ/m2),Irradiation (Wh/m2)
2018,2,5,36,1405.47,335.7,29004.43,8056.79
2018,2,6,37,1405.04,337.4,29151.04,8097.51
2018,2,7,38,1404.6,339.11,29298.94,8138.59
2018,2,8,39,1404.15,340.83,29448.02,8180
2018,2,9,40,1403.69,342.57,29598.18,8221.72
2018,2,10,41,1403.21,344.32,29749.34,8263.71
2018,2,11,42,1402.73,346.08,29901.4,8305.94
2018,2,12,43,1402.23,347.85,30054.25,8348.4
2018,2,13,44,1401.72,349.63,30207.82,8391.06
2018,2,14,45,1401.21,351.41,30361.99,8433.89
2018,2,15,46,1400.68,353.2,30516.68,8476.86
2018,2,16,47,1400.14,355,30671.8,8519.94
2018,2,17,48,1399.6,356.8,30827.25,8563.12
2018,2,18,49,1399.04,358.6,30982.94,8606.37
2018,2,19,50,1398.48,360.4,31138.78,8649.66
2018,2,20,51,1397.9,362.21,31294.69,8692.97
2018,2,21,52,1397.32,364.01,31450.57,8736.27
2018,2,22,53,1396.72,365.81,31606.34,8779.54
2018,2,23,54,1396.12,367.61,31761.92,8822.76
2018,2,24,55,1395.51,369.41,31917.22,8865.89
2018,2,25,56,1394.89,371.21,32072.15,8908.93
2018,2,26,57,1394.27,372.99,32226.65,8951.85
2018,2,27,58,1393.63,374.78,32380.63,8994.62
2018,2,28,59,1392.99,376.55,32534.01,9037.22
2018,3,1,60,1392.34,378.32,32686.71,9079.64
2018,3,2,61,1391.68,380.08,32838.68,9121.85
2018,3,3,62,1391.01,381.83,32989.82,9163.84
2018,3,4,63,1390.34,383.57,33140.08,9205.58
2018,3,5,64,1389.66,385.29,33289.38,9247.05
2018,3,6,65,1388.98,387.01,33437.66,9288.24
2018,3,7,66,1388.28,388.71,33584.85,9329.13
2018,3,8,67,1387.58,390.4,33730.9,9369.69
2018,3,9,68,1386.88,392.08,33875.74,9409.93
2018,3,10,69,1386.17,393.74,34019.31,9449.81
2018,3,11,70,1385.45,395.39,34161.56,9489.32
2018,3,12,71,1384.73,397.02,34302.43,9528.45
2018,3,13,72,1384,398.63,34441.87,9567.19
2018,3,14,73,1383.27,400.23,34579.84,9605.51
2018,3,15,74,1382.53,401.81,34716.27,9643.41
2018,3,16,75,1381.79,403.37,34851.14,9680.87
2018,3,17,76,1381.04,404.91,34984.39,9717.89
2018,3,18,77,1380.29,406.43,35115.98,9754.44
2018,3,19,78,1379.54,407.94,35245.87,9790.52
2018,3,20,79,1378.78,409.42,35374.03,9826.12
2018,3,21,80,1378.02,410.88,35500.42,9861.23
2018,3,22,81,1377.25,412.33,35625,9895.83
2018,3,23,82,1376.49,413.75,35747.74,9929.93
2018,3,24,83,1375.72,415.15,35868.63,9963.51
2018,3,26,85,1374.17,417.88,36104.68,10029.08
2018,3,27,86,1373.39,419.21,36219.81,10061.06
2018,3,28,87,1372.61,420.52,36332.97,10092.49
2018,3,29,88,1371.83,421.81,36444.15,10123.38
2018,3,30,89,1371.05,423.07,36553.33,10153.7
2018,3,31,90,1370.26,424.31,36660.5,10183.47
2018,4,1,91,1369.48,425.53,36765.63,10212.67
2018,4,2,92,1368.69,426.72,36868.72,10241.31
2018,4,3,93,1367.91,427.89,36969.75,10269.38
2018,4,4,94,1367.12,429.04,37068.73,10296.87
2018,4,5,95,1366.33,430.16,37165.63,10323.79
2018,4,6,96,1365.55,431.26,37260.46,10350.13
2018,4,7,97,1364.76,432.33,37353.21,10375.89
2018,4,8,98,1363.98,433.38,37443.89,10401.08
2018,4,9,99,1363.19,434.4,37532.48,10425.69
2018,4,10,100,1362.41,435.41,37619,10449.72
2018,4,11,101,1361.63,436.38,37703.44,10473.18
2018,4,12,102,1360.85,437.34,37785.81,10496.06
2018,4,13,103,1360.07,438.27,37866.11,10518.36
2018,4,14,104,1359.29,439.17,37944.36,10540.1
2018,4,15,105,1358.52,440.05,38020.56,10561.27
2018,4,16,106,1357.75,440.91,38094.72,10581.87
2018,4,17,107,1356.98,441.75,38166.86,10601.91
2018,4,18,108,1356.21,442.56,38236.98,10621.38
2018,4,19,109,1355.45,443.35,38305.11,10640.31
2018,4,20,110,1354.69,444.11,38371.25,10658.68
2018,4,21,111,1353.94,444.85,38435.42,10676.51
2018,4,22,112,1353.18,445.57,38497.65,10693.79
2018,4,23,113,1352.44,446.27,38557.95,10710.54
2018,4,24,114,1351.69,446.95,38616.34,10726.76
2018,4,25,115,1350.95,447.6,38672.84,10742.45
2018,4,26,116,1350.22,448.23,38727.47,10757.63
2018,4,27,117,1349.49,448.85,38780.26,10772.29
2018,4,28,118,1348.77,449.44,38831.23,10786.45
2018,4,29,119,1348.05,450,38880.41,10800.11
2018,4,30,120,1347.34,450.55,38927.83,10813.28
2018,5,1,121,1346.63,451.08,38973.5,10825.97
2018,5,2,122,1345.93,451.59,39017.45,10838.18
2018,5,3,123,1345.23,452.08,39059.72,10849.92
2018,5,4,124,1344.55,452.55,39100.34,10861.21
2018,5,5,125,1343.86,453,39139.32,10872.03
2018,5,6,126,1343.19,453.43,39176.71,10882.42
2018,5,7,127,1342.52,453.85,39212.53,10892.37
2018,5,8,128,1341.86,454.25,39246.82,10901.89
2018,5,9,129,1341.21,454.62,39279.6,10911
2018,5,10,130,1340.56,454.99,39310.9,10919.7
2018,5,11,131,1339.92,455.33,39340.77,10927.99
2018,5,12,132,1339.3,455.66,39369.22,10935.89
2018,5,13,133,1338.67,455.98,39396.3,10943.42
2018,5,14,134,1338.06,456.27,39422.03,10950.56
2018,5,15,135,1337.46,456.56,39446.45,10957.35
2018,5,16,136,1336.86,456.82,39469.59,10963.77
2018,5,17,137,1336.27,457.08,39491.48,10969.85
2018,5,18,138,1335.7,457.32,39512.15,10975.6
2018,5,19,139,1335.13,457.54,39531.65,10981.01
2018,5,20,140,1334.57,457.75,39549.99,10986.11
2018,5,21,141,1334.02,457.95,39567.22,10990.89
2018,5,22,142,1333.48,458.14,39583.36,10995.38
2018,5,23,143,1332.95,458.32,39598.44,10999.57
2018,5,24,144,1332.43,458.48,39612.5,11003.47
2018,5,25,145,1331.92,458.63,39625.57,11007.1
2018,5,26,146,1331.42,458.77,39637.67,11010.46
2018,5,27,147,1330.93,458.9,39648.84,11013.57
2018,5,28,148,1330.46,459.02,39659.1,11016.42
2018,5,29,149,1329.99,459.13,39668.49,11019.03
2018,5,30,150,1329.53,459.22,39677.03,11021.4
2018,5,31,151,1329.09,459.31,39684.75,11023.54
2018,6,1,152,1328.65,459.39,39691.67,11025.46
2018,6,2,153,1328.23,459.47,39697.83,11027.17
2018,6,3,154,1327.82,459.53,39703.23,11028.68
2018,6,4,155,1327.42,459.58,39707.92,11029.98
2018,6,5,156,1327.03,459.63,39711.9,11031.08
2018,6,6,157,1326.66,459.67,39715.21,11032
2018,6,7,158,1326.29,459.7,39717.87,11032.74
2018,6,8,159,1325.94,459.72,39719.88,11033.3
2018,6,9,160,1325.6,459.74,39721.28,11033.69
2018,6,10,161,1325.28,459.75,39722.08,11033.91
2018,6,11,162,1324.96,459.75,39722.3,11033.97
2018,6,12,163,1324.66,459.74,39721.95,11033.87
2018,6,13,164,1324.37,459.73,39721.04,11033.62
2018,6,14,165,1324.09,459.72,39719.59,11033.22
2018,6,15,166,1323.83,459.69,39717.62,11032.67
2018,6,16,167,1323.57,459.67,39715.13,11031.98
2018,6,17,168,1323.33,459.63,39712.12,11031.15
2018,6,18,169,1323.11,459.59,39708.62,11030.17
2018,6,19,170,1322.9,459.54,39704.63,11029.06
2018,6,20,171,1322.69,459.49,39700.14,11027.82
2018,6,21,172,1322.51,459.43,39695.17,11026.44
2018,6,22,173,1322.33,459.37,39689.73,11024.92
2018,6,23,174,1322.17,459.3,39683.8,11023.28
2018,6,24,175,1322.03,459.23,39677.4,11021.5
2018,6,25,176,1321.89,459.15,39670.51,11019.59
2018,6,26,177,1321.77,459.06,39663.15,11017.54
2018,6,27,178,1321.66,458.97,39655.3,11015.36
2018,6,28,179,1321.57,458.88,39646.97,11013.05
2018,6,29,180,1321.49,458.77,39638.14,11010.59
2018,6,30,181,1321.42,458.67,39628.81,11008
2018,7,1,182,1321.37,458.55,39618.97,11005.27
2018,7,2,183,1321.33,458.43,39608.61,11002.39
2018,7,3,184,1321.3,458.31,39597.73,10999.37
2018,7,4,185,1321.29,458.17,39586.3,10996.2
2018,7,5,186,1321.29,458.04,39574.33,10992.87
2018,7,6,187,1321.3,457.89,39561.78,10989.38
2018,7,7,188,1321.33,457.74,39548.66,10985.74
2018,7,8,189,1321.37,457.58,39534.94,10981.93
2018,7,9,190,1321.43,457.41,39520.61,10977.95
2018,7,10,191,1321.49,457.24,39505.64,10973.79
2018,7,11,192,1321.58,457.06,39490.03,10969.45
2018,7,12,193,1321.67,456.87,39473.75,10964.93
2018,7,13,194,1321.78,456.68,39456.77,10960.21
2018,7,14,195,1321.9,456.47,39439.09,10955.3
2018,7,15,196,1322.04,456.26,39420.68,10950.19
2018,7,16,197,1322.19,456.04,39401.51,10944.86
2018,7,17,198,1322.35,455.81,39381.56,10939.32
2018,7,18,199,1322.52,455.56,39360.81,10933.56
2018,7,19,200,1322.71,455.32,39339.24,10927.57
2018,7,20,201,1322.91,455.06,39316.81,10921.34
2018,7,21,202,1323.13,454.79,39293.51,10914.86
2018,7,22,203,1323.35,454.51,39269.3,10908.14
2018,7,23,204,1323.59,454.21,39244.17,10901.16
2018,7,24,205,1323.85,453.91,39218.08,10893.91
2018,7,25,206,1324.11,453.6,39191.01,10886.39
2018,7,26,207,1324.39,453.27,39162.93,10878.59
2018,7,27,208,1324.68,452.94,39133.81,10870.5
2018,7,28,209,1324.98,452.59,39103.63,10862.12
2018,7,29,210,1325.3,452.23,39072.35,10853.43
2018,7,30,211,1325.63,451.85,39039.96,10844.43
2018,7,31,212,1325.97,451.46,39006.42,10835.12
2018,8,1,213,1326.32,451.06,38971.7,10825.47
2018,8,2,214,1326.69,450.65,38935.78,10815.5
2018,8,3,215,1327.06,450.22,38898.63,10805.18
2018,8,4,216,1327.45,449.77,38860.23,10794.51
2018,8,5,217,1327.85,449.31,38820.53,10783.48
2018,8,6,218,1328.26,448.84,38779.53,10772.09
2018,8,7,219,1328.69,448.35,38737.19,10760.33
2018,8,8,220,1329.12,447.84,38693.48,10748.19
2018,8,9,221,1329.57,447.32,38648.38,10735.66
2018,8,10,222,1330.02,446.78,38601.87,10722.74
2018,8,11,223,1330.49,446.23,38553.92,10709.42
2018,8,12,224,1330.97,445.65,38504.5,10695.69
2018,8,13,225,1331.46,445.06,38453.59,10681.55
2018,8,14,226,1331.96,444.46,38401.17,10666.99
2018,8,15,227,1332.47,443.83,38347.21,10652
2018,8,16,228,1332.99,443.19,38291.7,10636.58
2018,8,17,229,1333.52,442.53,38234.61,10620.73
2018,8,18,230,1334.06,441.85,38175.92,10604.42
2018,8,19,231,1334.61,441.15,38115.61,10587.67
2018,8,20,232,1335.17,440.44,38053.67,10570.46
2018,8,21,233,1335.74,439.7,37990.07,10552.8
2018,8,22,234,1336.32,438.94,37924.79,10534.66
2018,8,23,235,1336.91,438.17,37857.83,10516.06
2018,8,24,236,1337.5,437.37,37789.16,10496.99
2018,8,25,237,1338.11,436.56,37718.77,10477.44
2018,8,26,238,1338.72,435.73,37646.65,10457.4
2018,8,27,239,1339.34,434.87,37572.79,10436.88
2018,8,28,240,1339.97,433.99,37497.16,10415.88
2018,8,29,241,1340.61,433.1,37419.77,10394.38
2018,8,30,242,1341.26,432.18,37340.6,10372.39
2018,8,31,243,1341.91,431.25,37259.65,10349.9
2018,9,1,244,1342.57,430.29,37176.91,10326.92
2018,9,2,245,1343.24,429.31,37092.37,10303.44
2018,9,3,246,1343.92,428.31,37006.03,10279.45
2018,9,4,247,1344.6,427.29,36917.89,10254.97
2018,9,5,248,1345.29,426.25,36827.94,10229.98
2018,9,6,249,1345.98,425.19,36736.18,10204.49
2018,9,7,250,1346.68,424.1,36642.61,10178.5
2018,9,8,251,1347.39,423,36547.24,10152.01
2018,9,9,252,1348.1,421.88,36450.07,10125.02
2018,9,10,253,1348.82,420.73,36351.11,10097.53
2018,9,11,254,1349.55,419.56,36250.35,10069.54
2018,9,12,255,1350.28,418.38,36147.82,10041.06
2018,9,13,256,1351.01,417.17,36043.51,10012.09
2018,9,14,257,1351.75,415.94,35937.44,9982.62
2018,9,15,258,1352.49,414.69,35829.62,9952.67
2018,9,16,259,1353.24,413.43,35720.07,9922.24
2018,9,17,260,1353.99,412.14,35608.8,9891.33
2018,9,18,261,1354.75,410.83,35495.83,9859.95
2018,9,19,262,1355.51,409.5,35381.17,9828.1
2018,9,20,263,1356.27,408.16,35264.85,9795.79
2018,9,21,264,1357.04,406.79,35146.89,9763.03
2018,9,22,265,1357.81,405.41,35027.32,9729.81
2018,9,23,266,1358.58,404.01,34906.15,9696.15
